ownerUsername,timestamp,caption,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28,hashtags/29,likesCount,commentsCount,,
thepeninsulatokyo,2026-01-11T09:33:24.000Z,"????????1,000??????
??????????????????????????
?????????????????????

Something is always waiting to be discovered.
Nearly 1,000 works of art quietly unfold throughout The Peninsula Tokyo, shaping moments between arrivals and departures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,1,,
thepeninsulatokyo,2026-01-09T11:08:06.000Z,"????????????????Peter???????????????????????????????????????????????????????????????

?????????????????????
 
A Valentine’s evening at Peter.
A Modern French dining experience, with two course menus thoughtfully designed to complement one another—set against Tokyo’s nightscape from the 24th floor.

Reserve your experience via the link in our bio.",thepeninsulatokyo,luxuryhotel,happyvalentine,PenMoments,Peter,?????????,????????,??????,???????,,,,,,,,,,,,,,,,,,,,,,348,2,,
thepeninsulatokyo,2025-12-28T00:50:00.000Z,"????????????????????????????????? 
 
Enjoy a slower start to the day with a morning thoughtfully prepared the Peninsula way.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,0,,
thepeninsulatokyo,2026-01-18T06:00:26.000Z,"???????????????????
????????????????????

Not everything needs to be planned.
At The Peninsula Tokyo, time becomes yours.

??: @keikeitravels",????????,???????,???,??,??,??????,thepeninsulatokyo,luxuryhotel,thepeninsula,Ginza,hotellife,,,,,,,,,,,,,,,,,,,,382,3,,
thepeninsulatokyo,2026-01-15T09:39:07.000Z,"???????????????????
??????????????????????????????????????????

The simplest luxury is time.
A quiet retreat where the day dissolves, and everything slows to your pace.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503,7,,
thepeninsulatokyo,2026-01-16T09:31:21.000Z,"?Peter??????????????

??????????????????????????????????????????????????????????

The perfect pause to end the week.

At Peter: The Bar, refined cocktails and sweeping city views set the tone for a relaxed Friday evening.",????????,??????,???,??,?????,Peter??,thepeninsulatokyo,luxuryhotel,bar,hotelbar,peterthebar,,,,,,,,,,,,,,,,,,,,201,3,,
thepeninsulatokyo,2025-12-30T10:44:18.000Z,"????????????????2025?12?31????? 2026?1?5????????????????????????????????????

????????????????????????????????????????????????????????

Welcome the New Year at Hei Fung Terrace. 

A classical Chinese garden-inspired space hosts an intimate celebration, with a special menu from 31 December to 5 January.",????????,???????,???,?????,???????,??,newyear,thepeninsulatokyo,Heifungterrace,finedining,,,,,,,,,,,,,,,,,,,,,301,4,,
thepeninsulatokyo,2025-12-31T09:57:15.000Z,"????????????????????
??????????????????????????????????????
2026?????????????????????????????

?????????????????

As we count down to the New Year, thank you for celebrating with us.

Wishing you a joyful New Year’s Eve and a year ahead filled with beautiful moments. ???",????????,???????,???,??,2026,???,thepeninsulatokyo,luxuryhotel,happynewyear,newyearseve,,,,,,,,,,,,,,,,,,,,,338,8,,
thepeninsulatokyo,2026-01-03T02:24:16.000Z,"???????????????????????????????

????????????????????????????????????????

A room prepared with care, a city view to enjoy, and a stay shaped by comfort, moments like these define the Peninsula experience.",????????,???????,???,??????,?????,??????,thepeninsulatokyo,luxuryhotel,hotelstay,,,,,,,,,,,,,,,,,,,,,,286,4,,
thepeninsulatokyo,2026-01-07T10:05:05.000Z,"?????????????????????
???????????????????????????????

A gentle pause in the day.
An unhurried moment, shared in the quiet comfort of your room.

??: @keikeitravels",????????,???????,???,??????,?????,??????,thepeninsulatokyo,luxuryhotel,hotelstay,penmoments,,,,,,,,,,,,,,,,,,,,,343,2,,
thecapitolhoteltokyu,2026-01-16T12:00:17.000Z,"??????? ??????2026 ??
?????????????????????????????????????????????????????????????????????????????????

The Capitol Valentine 2026 ??
Lovingly crafted by our chef pâtissier, these elegant bonbon chocolates take inspiration from temari, the traditional Japanese decorative ball. Refined aesthetics meet exquisite flavour in a Valentine’s gift created to delight all the senses—only for this season.

#?????????? #????????? #TheCapitolHotelTokyu #Valentine2026",??????????,?????????,TheCapitolHotelTokyu,Valentine2026,,,,,,,,,,,,,,,,,,,,,,,,,,,290,0,,
thecapitolhoteltokyu,2026-01-05T12:00:12.000Z,"??????????????
??????????????????????“???”?????????????????????????????
??????????????????????????

A flavour carried through time. A familiar taste, ready for a new beginning.

#TheCapitolHotelTokyu #??????????? #????? #ORIGAMI",TheCapitolHotelTokyu,???????????,?????,ORIGAMI,,,,,,,,,,,,,,,,,,,,,,,,,,,465,0,,
thecapitolhoteltokyu,2026-01-08T12:00:12.000Z,"?????????????????????????????????????????? ?
??????????????...

An afternoon unfolds, unhurried and refined. Where time slows, and the stay feels quietly complete.

#TheCapitolHotelTokyu #??????????? #???????
---------------------
@thecapitolhoteltokyu ? #CapitolMoments ??????????????? ????????????????????????????
Share your special moments at The Capitol Hotel Tokyu by tagging @thecapitolhoteltokyu and using #CapitolMoments.
---------------------",TheCapitolHotelTokyu,???????????,???????,CapitolMoments,CapitolMoments.,,,,,,,,,,,,,,,,,,,,,,,,,,250,4,,
thecapitolhoteltokyu,2025-10-10T01:40:49.000Z,"????????????????????2????”2???????”???????
... @thecapitolhoteltokyu 

2025?10?8???????????????????????????????????????2?????????2??????????????????
????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
????????????????????????

“2 MICHELIN Key” from MICHELIN guide ????

We are honored to announce that The Capitol Hotel Tokyu has been awarded 2 MICHELIN Keys in the latest hotel selection by the MICHELIN Guide, marking our second consecutive year of recognition.

As one of Japan’s leading hotels, we remain committed to providing each of our guests with an experience of genuine comfort and inspiration.
We thank all our guests for their continued support and look forward to welcoming you again soon.

#TheCapitolHotelTokyu",???????????,????????,?????,?????,??????,TheCapitolHotelTokyu,MICHELINKEY,MICHELINHOTEL,MICHELINGUIDE,MICHELIN,VisitJapan,ThePreferredLife,IPreferRewards,,,,,,,,,,,,,,,,,,221,2,,
thecapitolhoteltokyu,2026-01-18T12:00:00.000Z,"???? ???????

??????????????????????????????????????????????????????????????????????????????????????

A serene suite infused with Japanese elegance, located on the lower floors of the hotel.
Gaze out over lush greenery and surrender to a stillness rarely found in the heart of the city—an indulgent stay where time gently fades away.

#TheCapitolHotelTokyu #??????????",TheCapitolHotelTokyu,??????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,1,,
thecapitolhoteltokyu,2026-01-12T02:30:09.000Z,"??????????????????????? ?
?????????????????????????????????????????????????????????????????

Goshuincho, created for sacred stamps and moments of reflection. A refined companion for shrine visits, holding the memories you carry home.

#TheCapitolHotelTokyu #???? #??????",TheCapitolHotelTokyu,????,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,6,,
